id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
2773,清荒神,清荒神,きよしこうじん,兵庫県,宝塚市,阪急電鉄 阪急宝塚本線,,1914,HK-55,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyoshikojin%20Station%20%2806%29%20IMG%209155r%2020160409.JPG,https://commons.wikimedia.org/wiki/File:Kiyoshikojin_Station_%2806%29_IMG_9155r_20160409.JPG,兵庫県宝塚市清荒神一丁目にある、阪急電鉄宝塚本線の駅。駅番号はHK-55。開業より清荒神清澄寺への参拝に利用され、駅は清荒神の参詣道に直結している。,Q736981
2774,清洲,清洲,きよす,愛知県,稲沢市,JR東海 東海道本線,JR東海,1934,CA70／キス,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Central%20Kiyosu%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Central_Kiyosu_Station_Platform.jpg,愛知県稲沢市北市場町古三味（ふるざんみ）にある、東海旅客鉄道（JR東海）・日本貨物鉄道（JR貨物）東海道本線の駅である。駅番号はCA70。,Q871009
2775,清澄白河,清澄白河,きよすみしらかわ,東京都,白河,東京地下鉄 東京メトロ半蔵門線／東京都交通局 都営地下鉄大江戸線,東京地下鉄／東京都交通局,2000,E-14,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyosumi-shirakawa-Station-ExitA1.jpg,https://commons.wikimedia.org/wiki/File:Kiyosumi-shirakawa-Station-ExitA1.jpg,東京都江東区白河一丁目にある、東京都交通局（都営地下鉄）・東京地下鉄（東京メトロ）の駅。都営地下鉄の大江戸線と、東京メトロの半蔵門線が乗り入れ、接続駅となっている。,Q80542
2776,清瀬,清瀬,きよせ,東京都,清瀬市,西武鉄道 西武池袋線,西武鉄道,1924,SI15,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyose-STA%20South.jpg,https://commons.wikimedia.org/wiki/File:Kiyose-STA_South.jpg,東京都清瀬市元町一丁目にある、西武鉄道池袋線の駅である。駅番号はSI15。,Q6419078
2777,清武,清武,きよたけ,宮崎県,宮崎市,JR九州 日豊本線,JR九州,1915,ヨケ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyotake%20Station.JPG,https://commons.wikimedia.org/wiki/File:Kiyotake_Station.JPG,宮崎県宮崎市清武町船引にある、九州旅客鉄道（JR九州）日豊本線の駅である。,Q5357380
2778,清音,清音,きよね,岡山県,総社市,JR西日本 伯備線／井原鉄道 井原線,,1925,キネ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyone%20sta%20%28Soja%20City%29.jpg,https://commons.wikimedia.org/wiki/File:Kiyone_sta_%28Soja_City%29.jpg,岡山県総社市清音上中島にある、西日本旅客鉄道（JR西日本）・井原鉄道の駅である。,Q4445051
2779,清原地区市民センター前,清原地区市民センター前,きよはらちくしみんせんたーまえ,栃木県,宇都宮市,宇都宮ライトレール 宇都宮芳賀ライトレール線,,2023,,current,http://commons.wikimedia.org/wiki/Special:FilePath/KiyoharaDistrictCiviccenter-mae%20platform20211010.jpg,https://commons.wikimedia.org/wiki/File:KiyoharaDistrictCiviccenter-mae_platform20211010.jpg,栃木県宇都宮市清原工業団地にある宇都宮ライトレール宇都宮芳賀ライトレール線の停留場。本項では、当停留場に併設の交通結節点「清原工業団地トランジットセンター」についても解説する。,Q109600756
2780,清水五条,清水五条,きよみずごじょう,京都府,京都市,京阪電気鉄道 京阪本線,京阪電気鉄道,1910,KH38,current,http://commons.wikimedia.org/wiki/Special:FilePath/Keihan%20Kiyomizu%20gozyou%20sta%20002.jpg,https://commons.wikimedia.org/wiki/File:Keihan_Kiyomizu_gozyou_sta_002.jpg,京都府京都市東山区五条大橋東詰にある、京阪電気鉄道京阪本線の駅。旧称五条駅。駅番号はKH38。,Q1111248
2781,吉良吉田,吉良吉田,きらよしだ,愛知県,西尾市,名鉄蒲郡線／名鉄西尾線,名鉄,1928,GN13,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Kira%20Yoshida%20Station-Building.jpg,https://commons.wikimedia.org/wiki/File:MT-Kira_Yoshida_Station-Building.jpg,愛知県西尾市吉良町吉田船戸5にある、名古屋鉄道（名鉄）西尾線・蒲郡線の駅である。駅番号はGN13。旧幡豆郡吉良町の中心駅であり、西尾線および蒲郡線の始発・終着駅である。,Q6414740
2782,切石,切石,きりいし,長野県,飯田市,JR東海 飯田線,JR東海,1926,キリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiriishi-sta.jpg,https://commons.wikimedia.org/wiki/File:Kiriishi-sta.jpg,長野県飯田市鼎切石にある、東海旅客鉄道（JR東海）飯田線の駅である。,Q985307
2783,吉里吉里,吉里吉里,きりきり,岩手県,大槌町,三陸鉄道リアス線,三鉄,1938,リリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kirikiri%20station%2COtsuchi.jpg,https://commons.wikimedia.org/wiki/File:Kirikiri_station%2COtsuchi.jpg,岩手県上閉伊郡大槌町吉里吉里二丁目にある、三陸鉄道リアス線の駅である。駅の愛称は「鳴き砂の浜」。,Q3892986
2784,霧島温泉,霧島温泉,きりしまおんせん,鹿児島県,霧島市,JR九州 肥薩線,JR九州,1908,キチ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kirisimaonsen%20StationPlatform.jpg,https://commons.wikimedia.org/wiki/File:Kirisimaonsen_StationPlatform.jpg,鹿児島県霧島市牧園町宿窪田にある、九州旅客鉄道（JR九州）肥薩線の駅である。,Q5375612
2785,霧島神宮,霧島神宮,きりしまじんぐう,鹿児島県,霧島市,JR九州 日豊本線,JR九州,1930,キリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%9C%A7%E5%B3%B6%E7%A5%9E%E5%AE%AE%E9%A7%85%E7%9C%8B%E6%9D%BF.JPG,https://commons.wikimedia.org/wiki/File:%E9%9C%A7%E5%B3%B6%E7%A5%9E%E5%AE%AE%E9%A7%85%E7%9C%8B%E6%9D%BF.JPG,鹿児島県霧島市霧島大窪にある、九州旅客鉄道（JR九州）日豊本線の駅である。事務管コードは▲940518。,Q6415333
2786,切通,切通,きりどおし,岐阜県,岐阜市,名鉄各務原線,名鉄,1926,KG14,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Kirid%C5%8Dshi%20Station-Building.jpg,https://commons.wikimedia.org/wiki/File:MT-Kirid%C5%8Dshi_Station-Building.jpg,岐阜県岐阜市切通二丁目にある名古屋鉄道各務原線の駅である。駅番号はKG14。manacaが利用できる。,Q6415144
2787,桐原,桐原,きりはら,新潟県,長岡市,JR東日本 越後線,JR東日本,1919,キラ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Echigo%20Line%20Kirihara%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Echigo_Line_Kirihara_Station_Platform.jpg,新潟県長岡市寺泊五分一にある、東日本旅客鉄道（JR東日本）越後線の駅である。,Q6415154
2788,桐原,桐原,きりはら,長野県,長野市,長野電鉄長野線,長電,1926,N6／キハ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kirihara%20sta.jpg,https://commons.wikimedia.org/wiki/File:Kirihara_sta.jpg,長野県長野市桐原一丁目にある長野電鉄長野線の駅。駅番号はN6。,Q11537186
2789,切目,切目,きりめ,和歌山県,印南町,JR西日本 紀勢本線,JR西日本,1931,キリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%88%87%E7%9B%AE%E9%A7%85%20-%20panoramio.jpg,https://commons.wikimedia.org/wiki/File:%E5%88%87%E7%9B%AE%E9%A7%85_-_panoramio.jpg,和歌山県日高郡印南町大字島田にある、西日本旅客鉄道（JR西日本）紀勢本線（きのくに線）の駅である。,Q2898692
2790,桐生,桐生,きりゅう,群馬県,桐生市,JR東日本 両毛線／わたらせ渓谷鐵道わたらせ渓谷線,JR東日本／わてつ,1888,WK01／キリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiryu-STA%20Platform3-4.jpg,https://commons.wikimedia.org/wiki/File:Kiryu-STA_Platform3-4.jpg,群馬県桐生市末広町にある、東日本旅客鉄道（JR東日本）・わたらせ渓谷鐵道の駅。,Q6416343
2791,桐生球場前,桐生球場前,きりゅうきゅうじょうまえ,群馬県,桐生市,上毛電気鉄道上毛線,上電,2006,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Joden-Kiryu-kyujo-mae-station-platform-20100907.jpg,https://commons.wikimedia.org/wiki/File:Joden-Kiryu-kyujo-mae-station-platform-20100907.jpg,群馬県桐生市相生町二丁目にある上毛電気鉄道上毛線の駅である。東武桐生線との並走区間にあるが、桐生線側に駅はない。,Q6416345
2792,吉礼,吉礼,きれ,和歌山県,和歌山市,和歌山電鐵 貴志川線,,1916,キレ,current,http://commons.wikimedia.org/wiki/Special:FilePath/WER-Kire.jpg,https://commons.wikimedia.org/wiki/File:WER-Kire.jpg,和歌山県和歌山市吉礼にある和歌山電鐵貴志川線の駅。駅番号は08。古くからの集落にあり利用客が多い駅である。,Q11414176
2793,喜連瓜破,喜連瓜破,きれうりわり,大阪府,大阪市,大阪市高速電気軌道 谷町線,大阪市高速電気軌道,1980,T33,current,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance_No.2_of_Kire-Uriwari_Station.jpg,https://commons.wikimedia.org/wiki/File:Entrance_No.2_of_Kire-Uriwari_Station.jpg,大阪府大阪市平野区喜連二丁目にある、大阪市高速電気軌道（Osaka Metro）谷町線の駅。駅番号はT33。難読駅の1つとして知られている。,Q151539
2794,紀和,紀和,きわ,和歌山県,和歌山市,JR西日本 紀勢本線,JR西日本,1898,キワ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiwa%20Station%20%28Wakayama%29%2C%20ekisha.jpg,https://commons.wikimedia.org/wiki/File:Kiwa_Station_%28Wakayama%29%2C_ekisha.jpg,和歌山県和歌山市中之島にある、西日本旅客鉄道（JR西日本）紀勢本線の駅。,Q3527469
2795,岐波,岐波,きわ,山口県,宇部市,JR西日本 宇部線,JR西日本,1924,キワ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20West%20Kiwa%20Station.jpg,https://commons.wikimedia.org/wiki/File:JR_West_Kiwa_Station.jpg,山口県宇部市大字東岐波字高橋にある、西日本旅客鉄道（JR西日本）宇部線の駅。,Q6418840
2796,黄波戸,黄波戸,きわど,山口県,長門市,JR西日本 山陰本線,JR西日本,1928,キト,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kiwado%20stn.jpg,https://commons.wikimedia.org/wiki/File:Kiwado_stn.jpg,山口県長門市日置上（へきかみ）字黄波戸にある、西日本旅客鉄道（JR西日本）山陰本線の駅である。,Q6418844
2797,錦江,錦江,きんこう,鹿児島県,姶良市,JR九州 日豊本線,JR九州,1986,キコ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kinko%20station%20plathome.jpg,https://commons.wikimedia.org/wiki/File:Kinko_station_plathome.jpg,鹿児島県姶良市加治木町新生町にある、九州旅客鉄道（JR九州）日豊本線の駅である。,Q5357318
2798,錦糸町,錦糸町,きんしちょう,東京都,墨田区,JR東日本 総武本線／東京地下鉄 東京メトロ半蔵門線,JR東日本／東京地下鉄,1894,JB22／JO22／KI-U／Z13／キウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sobu-Main-Line%20Kinshicho%20Station%20Platform%201%E3%83%BB2%20%2820210410%29.jpg,https://commons.wikimedia.org/wiki/File:JR_Sobu-Main-Line_Kinshicho_Station_Platform_1%E3%83%BB2_%2820210410%29.jpg,東京都墨田区江東橋三丁目にある、東日本旅客鉄道（JR東日本）・東京地下鉄（東京メトロ）の駅である。,Q801017
2799,金城ふ頭,金城ふ頭,きんじょうふとう,愛知県,名古屋市,名古屋臨海高速鉄道 あおなみ線,,2004,AN11,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aonami%20Line%20Kinjo-futo%20Station%20south%20side.jpg,https://commons.wikimedia.org/wiki/File:Aonami_Line_Kinjo-futo_Station_south_side.jpg,愛知県名古屋市港区金城ふ頭三丁目（名古屋港名古屋地区金城埠頭）にある、名古屋臨海高速鉄道あおなみ線の駅で、同線の終着駅である。駅番号はAN11。,Q5368904
2800,金田一温泉,金田一温泉,きんたいちおんせん,岩手県,二戸市,IGRいわて銀河鉄道 いわて銀河鉄道線,IGRいわて銀河鉄道,1909,キイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/IGR%20Kintaichi-Onsen%20Station%20Platform%2C%20Iwate%20Pref.jpg,https://commons.wikimedia.org/wiki/File:IGR_Kintaichi-Onsen_Station_Platform%2C_Iwate_Pref.jpg,岩手県二戸市金田一字水梨にある、IGRいわて銀河鉄道いわて銀河鉄道線の駅である。,Q6414325
2801,近鉄蟹江,近鉄蟹江,きんてつかにえ,愛知県,蟹江町,近畿日本鉄道 近鉄名古屋線,近畿日本鉄道,1938,カニ,current,http://commons.wikimedia.org/wiki/Special:FilePath/KT-KanieStation.jpg,https://commons.wikimedia.org/wiki/File:KT-KanieStation.jpg,愛知県海部郡蟹江町本町十一丁目にある、近畿日本鉄道（近鉄）名古屋線の駅である。駅番号はE08。,Q6414364
2802,近鉄郡山,近鉄郡山,きんてつこおりやま,奈良県,大和郡山市,近畿日本鉄道 近鉄橿原線,,1921,B30／コリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu-Koriyama%20stn.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu-Koriyama_stn.jpg,奈良県大和郡山市南郡山町にある、近畿日本鉄道橿原線の駅。駅番号はB30。,Q6414349
2803,近鉄御所,近鉄御所,きんてつごせ,奈良県,御所市,近畿日本鉄道 近鉄御所線,近畿日本鉄道,1930,P26／コセ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Gose%20Station%20%28entrance%29.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_Gose_Station_%28entrance%29.jpg,奈良県御所市末広町にある、近畿日本鉄道（近鉄）御所線の終着駅。駅番号はP26。,Q11639107
2804,近鉄下田,近鉄下田,きんてつしもだ,奈良県,香芝市,近畿日本鉄道 近鉄大阪線,近畿日本鉄道,1927,D22／シモタ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu-shimoda%20station.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu-shimoda_station.jpg,奈良県香芝市下田西一丁目にある、近畿日本鉄道（近鉄）大阪線の駅である。駅番号はD22。,Q6414373
2805,近鉄新庄,近鉄新庄,きんてつしんじょう,奈良県,葛城市,近畿日本鉄道 近鉄御所線,近畿日本鉄道,1930,P24／シン,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Shinj%C5%8D%20Station%20%28building%29.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_Shinj%C5%8D_Station_%28building%29.jpg,奈良県葛城市柿本にある、近畿日本鉄道（近鉄）御所線の駅。駅番号はP24。JTB時刻表では、隣接するJR大和新庄駅ではなく、当駅が葛城市の代表駅と定義されている。,Q6414374
2806,近鉄丹波橋,近鉄丹波橋,きんてつたんばばし,京都府,伏見区,近畿日本鉄道 近鉄京都線,近畿日本鉄道,1928,B07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Tambabashi%20station%20east%20entrance.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_Tambabashi_station_east_entrance.jpg,京都府京都市伏見区桃山にある、京阪電気鉄道京阪本線の駅である。駅番号はKH30。,Q268864
2807,近鉄富田,近鉄富田,きんてつとみだ,三重県,四日市市,三岐鉄道 三岐線／近畿日本鉄道 近鉄名古屋線,近畿日本鉄道,1929,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20tomita%20Station-West%2020120527.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_tomita_Station-West_20120527.jpg,三重県四日市市富田一丁目にある、近畿日本鉄道（近鉄）・三岐鉄道の駅である。駅番号は近鉄がE17、三岐線がS01。,Q2913531
2808,近鉄長島,近鉄長島,きんてつながしま,三重県,桑名市,近畿日本鉄道 近鉄名古屋線,近畿日本鉄道,1938,ナカシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu-Nagashima%20stn.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu-Nagashima_stn.jpg,三重県桑名市長島町西外面にある、近畿日本鉄道（近鉄）名古屋線の駅である。駅番号はE12。当駅は、名古屋線では三重県最東端・最北端の駅で、東へ木曽川を越えると愛知県に入る。,Q6414367
2809,近鉄名古屋,近鉄名古屋,きんてつなごや,愛知県,名駅一丁目,近畿日本鉄道 近鉄名古屋線,近畿日本鉄道,1938,ナコ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Corporation%20-%20Kintetsu%20Nagoya%20Station%20-%2001.JPG,https://commons.wikimedia.org/wiki/File:Kintetsu_Corporation_-_Kintetsu_Nagoya_Station_-_01.JPG,愛知県名古屋市中村区名駅1丁目にある、近畿日本鉄道（近鉄）名古屋線の駅である。駅番号はE01。車内アナウンスでは「近鉄」を省略して名古屋と案内されている。,Q1109915
2810,近鉄奈良,近鉄奈良,きんてつなら,奈良県,奈良市,近畿日本鉄道 近鉄奈良線,近畿日本鉄道,1914,A28／ナラ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Nara%20station%2020140902.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_Nara_station_20140902.jpg,奈良県奈良市東向中町にある近畿日本鉄道（近鉄）奈良線の駅であり、同線の終点。駅長配置駅である。駅番号はA28。実質的な奈良市の中心駅である。,Q6414371
2811,近鉄日本橋,近鉄日本橋,きんてつにっぽんばし,大阪府,中央区,近畿日本鉄道 近鉄難波線,近畿日本鉄道,1970,A02,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%BF%91%E9%89%84%E6%97%A5%E6%9C%AC%E6%A9%8B%E9%A7%85%20%E6%9D%B1%E6%94%B9%E6%9C%AD%E5%8F%A3%202023.jpg,https://commons.wikimedia.org/wiki/File:%E8%BF%91%E9%89%84%E6%97%A5%E6%9C%AC%E6%A9%8B%E9%A7%85_%E6%9D%B1%E6%94%B9%E6%9C%AD%E5%8F%A3_2023.jpg,大阪府大阪市中央区日本橋一丁目にある、大阪市高速電気軌道（Osaka Metro）の駅である。,Q6414369
2812,近鉄八田,近鉄八田,きんてつはった,愛知県,名古屋市,近畿日本鉄道 近鉄名古屋線,,1938,ハタ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Hatta%20Station%2002.JPG,https://commons.wikimedia.org/wiki/File:Kintetsu_Hatta_Station_02.JPG,愛知県名古屋市中村区八田町字長田にある、近畿日本鉄道（近鉄）名古屋線の駅である。駅番号はE05。,Q6414362
2813,近鉄宮津,近鉄宮津,きんてつみやづ,京都府,京田辺市,近畿日本鉄道 近鉄京都線,,1993,B19,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Miyazu%20sta%20001.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_Miyazu_sta_001.jpg,京都府京田辺市宮津灰崎にある、近畿日本鉄道（近鉄）京都線の駅。駅番号はB19。京田辺市最南端の鉄道駅である。,Q257964
2814,近鉄八尾,近鉄八尾,きんてつやお,大阪府,八尾市,近畿日本鉄道 近鉄大阪線,近畿日本鉄道,1924,D11／ヤオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu-Yao%20St01.JPG,https://commons.wikimedia.org/wiki/File:Kintetsu-Yao_St01.JPG,大阪府八尾市北本町二丁目にある、近畿日本鉄道（近鉄）大阪線の駅である。駅番号はD11。,Q6414378
2815,近鉄弥富,近鉄弥富,きんてつやとみ,愛知県,弥富市,近畿日本鉄道 近鉄名古屋線,近畿日本鉄道,1938,ヤト,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kintetsu%20Yatomi%20Station%202023-04%20ac%20%282%29.jpg,https://commons.wikimedia.org/wiki/File:Kintetsu_Yatomi_Station_2023-04_ac_%282%29.jpg,愛知県弥富市鯏浦町西前新田にある近畿日本鉄道（近鉄）名古屋線の駅である。駅番号はE11。近鉄線では愛知県最西端の駅である。海抜ゼロメートル地帯にある。,Q2913536
2816,近鉄四日市,近鉄四日市,きんてつよっかいち,三重県,四日市市,近畿日本鉄道 近鉄名古屋線／近畿日本鉄道 近鉄湯の山線,近畿日本鉄道,1913,,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%BF%91%E9%89%84%E5%9B%9B%E6%97%A5%E5%B8%82%E9%A7%85%E5%8D%97%E3%83%90%E3%82%B9%E3%81%AE%E3%82%8A%E3%81%B0.jpg,https://commons.wikimedia.org/wiki/File:%E8%BF%91%E9%89%84%E5%9B%9B%E6%97%A5%E5%B8%82%E9%A7%85%E5%8D%97%E3%83%90%E3%82%B9%E3%81%AE%E3%82%8A%E3%81%B0.jpg,三重県四日市市安島一丁目にある、近畿日本鉄道（近鉄）の駅である。本項目では、四日市あすなろう鉄道のあすなろう四日市駅（あすなろうよっかいちえき）についても述べる。,Q6414379
2817,金野,金野,きんの,長野県,飯田市,JR東海 飯田線,JR東海,1932,キン,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kinno-Sta-Platform.JPG,https://commons.wikimedia.org/wiki/File:Kinno-Sta-Platform.JPG,長野県飯田市千栄（ちはえ）にある、東海旅客鉄道（JR東海）飯田線の駅である。,Q903011
2818,欽明路,欽明路,きんめいじ,山口県,岩国市,JR西日本 岩徳線,JR西日本,1990,キメ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Kinmeiji%20sta%20001.jpg,https://commons.wikimedia.org/wiki/File:JR_Kinmeiji_sta_001.jpg,山口県岩国市玖珂町（くがまち）中野口にある、西日本旅客鉄道（JR西日本）岩徳線の駅。,Q6410169
2819,祇園,祇園,ぎおん,千葉県,木更津市,JR東日本 久留里線,JR東日本,1961,キン,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Kururi%20Line%20Gion%20Station%20building%20and%20Entrance.jpg,https://commons.wikimedia.org/wiki/File:JR_Kururi_Line_Gion_Station_building_and_Entrance.jpg,千葉県木更津市祇園にある、東日本旅客鉄道（JR東日本）久留里線の駅である。,Q5563370
2820,祇園,祇園,ぎおん,福岡県,祇園町,福岡市交通局 空港線,,1983,K10,current,http://commons.wikimedia.org/wiki/Special:FilePath/Fukuoka_Gion_subway_station.jpg,https://commons.wikimedia.org/wiki/File:Fukuoka_Gion_subway_station.jpg,福岡県福岡市博多区御供所町に所在する福岡市地下鉄空港線の駅である。副駅名は「博多旧市街口」、駅番号はK10。,Q4357517
2821,祇園四条,祇園四条,ぎおんしじょう,京都府,東山区,京阪電気鉄道 京阪本線,京阪電気鉄道,1915,KH39／四,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gion-shijo%20Station%20%2802%29%20IMG%203483%2020140112.JPG,https://commons.wikimedia.org/wiki/File:Gion-shijo_Station_%2802%29_IMG_3483_20140112.JPG,京都府京都市東山区四条大橋東詰にある、京阪電気鉄道京阪本線の駅。駅番号はKH39。,Q2153263
2822,祇園新橋北,祇園新橋北,ぎおんしんばしきた,広島県,広島市,広島高速交通 アストラムライン,,1994,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gionshinbashikita%20stn.JPG,https://commons.wikimedia.org/wiki/File:Gionshinbashikita_stn.JPG,広島県広島市安佐南区西原四丁目にある広島高速交通広島新交通1号線（アストラムライン）の駅。,Q5563368
2823,祇園橋,祇園橋,ぎおんばし,熊本県,熊本市,熊本市交通局 熊本市電幹線,熊本市交通局,1924,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kumamoto%20Gionbashi-STA.jpg,https://commons.wikimedia.org/wiki/File:Kumamoto_Gionbashi-STA.jpg,熊本県熊本市中央区細工町五丁目にある熊本市交通局の電停。停留所番号は4。A系統が停車する。,Q11588562
2824,義塾高校前,義塾高校前,ぎじゅくこうこうまえ,青森県,弘前市,弘南鉄道大鰐線,弘南鉄道,1987,KW09,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gijukuk%C5%8Dk%C5%8Dmae%20Station%2020190921b.jpg,https://commons.wikimedia.org/wiki/File:Gijukuk%C5%8Dk%C5%8Dmae_Station_20190921b.jpg,青森県弘前市大字石川字野崎にある弘南鉄道大鰐線の駅である。駅番号はKW 09。東奥義塾高等学校の当地移転により設置された。,Q5560420
2825,岐南,岐南,ぎなん,岐阜県,岐南町,名鉄名古屋本線,名鉄,1914,NH57,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ginan%20Station%20110908.jpg,https://commons.wikimedia.org/wiki/File:Ginan_Station_110908.jpg,岐阜県羽島郡岐南町下印食四丁目にある、名古屋鉄道名古屋本線の駅。駅番号はNH57。,Q5562956
2826,岐阜,岐阜,ぎふ,岐阜県,岐阜市,JR東海 東海道本線／JR東海 高山本線,JR東海,1887,CA74／CG00／キフ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gifu%20sta%20entrance.jpg,https://commons.wikimedia.org/wiki/File:Gifu_sta_entrance.jpg,岐阜県岐阜市橋本町一丁目、標高11mにある、東海旅客鉄道（JR東海）の駅である。当駅の所属線である東海道本線と、当駅を起点とする高山本線が乗り入れ、分岐駅となっている。,Q1144885
2827,岐阜貨物ターミナル,岐阜貨物ターミナル,ぎふかもつたーみなる,岐阜県,岐阜市,JR東日本 東海道本線,JR貨物,1986,キタ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gifukamotsu_01.jpg,https://commons.wikimedia.org/wiki/File:Gifukamotsu_01.jpg,岐阜県岐阜市今嶺四丁目にある日本貨物鉄道（JR貨物）東海道本線の貨物駅。,Q5359580
2828,岐阜県,岐阜県,ぎふけん,岐阜県,中津川市,JR東海 中央新幹線,JR東海,2034,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gifu_Prefecture_station-Planned_construction_site.jpg,https://commons.wikimedia.org/wiki/File:Gifu_Prefecture_station-Planned_construction_site.jpg,岐阜県中津川市千旦林（中央本線美乃坂本駅の西側）に建設中の中央新幹線の駅である。島型プラットホーム2面と副本線を持つ高架駅になる予定である。,Q106837642
2829,岐阜羽島,岐阜羽島,ぎふはしま,岐阜県,羽島市,JR東海 東海道新幹線,JR東海,1964,ハシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gifu%20Hashima%20Station%2001.JPG,https://commons.wikimedia.org/wiki/File:Gifu_Hashima_Station_01.JPG,岐阜県羽島市福寿町平方にある、東海旅客鉄道（JR東海）東海道新幹線の駅である。接続駅として、1982年（昭和57年）12月11日に名鉄羽島線の新羽島駅が隣接する形で開業した。,Q800820
2830,儀保,儀保,ぎぼ,沖縄県,那覇市,沖縄都市モノレール線,,2003,14,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gibo-Station-Building-2020.jpg,https://commons.wikimedia.org/wiki/File:Gibo-Station-Building-2020.jpg,沖縄県那覇市首里儀保町三丁目にある、沖縄都市モノレール線（ゆいレール）の駅である。駅番号は14。,Q7484290
2831,行啓通,行啓通,ぎょうけいどおり,北海道,南○条西,札幌市交通事業振興公社 札幌市電,,1923,SC18,current,http://commons.wikimedia.org/wiki/Special:FilePath/Sapporo%20Street%20Car%20Gyokei%20Dori%20Station.jpg,https://commons.wikimedia.org/wiki/File:Sapporo_Street_Car_Gyokei_Dori_Station.jpg,北海道札幌市中央区にある札幌市交通事業振興公社（札幌市電）山鼻線の停留場である。停留場番号はSC18。山鼻線の通る西7丁目通と米里行啓通との交差点（南14条西6丁目）にある。,Q11626040
