id,original,surface,pronunciation,type,category,org,debut_year,status,image,image_page,wikidata,channel,description,subscribers,subscribers_as_of,image_credit,image_usage,image_terms_page,scope,channel_shared
993,江戸レナ,江戸,エド,family,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_aad508eced.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_aad508eced.svg,Q106909211,江戸レナ Edo Lena,動画共有サイトYouTubeを中心に活動するVirtual Singer(VSinger)である。,80800,2026-08-18,,,,unknown,NA
993,江戸レナ,レナ,レナ,given,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_aad508eced.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_aad508eced.svg,Q106909211,江戸レナ Edo Lena,動画共有サイトYouTubeを中心に活動するVirtual Singer(VSinger)である。,80800,2026-08-18,,,,unknown,NA
993,江戸レナ,江戸レナ,エドレナ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_aad508eced.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_aad508eced.svg,Q106909211,江戸レナ Edo Lena,動画共有サイトYouTubeを中心に活動するVirtual Singer(VSinger)である。,80800,2026-08-18,,,,unknown,NA
994,沙花叉クロヱ,沙花叉,サカマタ,family,vtuber,ホロライブ/ホロライブ6期生,2021,former,https://hololive.hololivepro.com/wp-content/uploads/2024/09/Sakamata-Chloe_pr-img_01.png,https://hololive.hololivepro.com/talents/sakamata-chloe/,Q109743000,Chloe ch. 沙花叉クロヱ - holoX -,元VTuber、元バーチャルアイドル。,1310000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
994,沙花叉クロヱ,クロヱ,クロヱ,given,vtuber,ホロライブ/ホロライブ6期生,2021,former,https://hololive.hololivepro.com/wp-content/uploads/2024/09/Sakamata-Chloe_pr-img_01.png,https://hololive.hololivepro.com/talents/sakamata-chloe/,Q109743000,Chloe ch. 沙花叉クロヱ - holoX -,元VTuber、元バーチャルアイドル。,1310000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
994,沙花叉クロヱ,沙花叉クロヱ,サカマタクロヱ,full,vtuber,ホロライブ/ホロライブ6期生,2021,former,https://hololive.hololivepro.com/wp-content/uploads/2024/09/Sakamata-Chloe_pr-img_01.png,https://hololive.hololivepro.com/talents/sakamata-chloe/,Q109743000,Chloe ch. 沙花叉クロヱ - holoX -,元VTuber、元バーチャルアイドル。,1310000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
995,泠鳶yousa,泠鳶yousa,リーンユエンヨウサ,full,vtuber,NA,2008,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_167521ffdb.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_167521ffdb.svg,Q109342555,泠鸢Yousa·Ling Official,中華人民共和国のバーチャルアーティスト。,12300,2026-08-18,,,,unknown,no
997,深影,深影,ミカゲ,full,vtuber,GREY MYTH,2025,current,https://rkmusic.jp/wp/wp-content/uploads/2026/07/深影_正方形.png,https://rkmusic.jp/artist/375/,Q138020248,深影,2025年5月からYouTubeで主に歌やライブなどの音楽活動を行う。,28300,2026-08-18,深影 / GREY MYTH,noncommercial_fanwork,https://rkmusic.jp/guideline/,unknown,NA
998,渋谷ハル,渋谷ハル,シブヤハル,full,vtuber,Neo-Porte,2018,current,https://neo-porte.jp/wp-content/uploads/2026/04/member-main_shibuya-hal01.png,https://neo-porte.jp/member/shibuya-hal,Q109594612,渋谷ハル,ファーストパーソン・シューティングゲームをはじめとしたゲーム実況配信を行うほか、VTuber最協決定戦などの大会を主催している。,906000,2026-08-18,渋谷ハル / Neo-Porte,noncommercial_fanwork,https://neo-porte.jp/guideline/,japan,NA
999,湊あくあ,湊,ミナト,family,vtuber,カバー株式会社/ホロライブ2期生,2018,former,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Minato-Aqua_pr-img_01.png,https://hololive.hololivepro.com/talents/minato-aqua/,Q88874152,Aqua Ch. 湊あくあ,元バーチャルYouTuber。,2180000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
999,湊あくあ,あくあ,アクア,given,vtuber,カバー株式会社/ホロライブ2期生,2018,former,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Minato-Aqua_pr-img_01.png,https://hololive.hololivepro.com/talents/minato-aqua/,Q88874152,Aqua Ch. 湊あくあ,元バーチャルYouTuber。,2180000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
999,湊あくあ,湊あくあ,ミナトアクア,full,vtuber,カバー株式会社/ホロライブ2期生,2018,former,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Minato-Aqua_pr-img_01.png,https://hololive.hololivepro.com/talents/minato-aqua/,Q88874152,Aqua Ch. 湊あくあ,元バーチャルYouTuber。,2180000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1000,潤羽るしあ,潤羽,ウルハ,family,vtuber,NA,2019,former,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d0513defe0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d0513defe0.svg,Q90815761,Rushia Ch. 潤羽るしあ,元バーチャルYouTuber。,1260000,2026-08-18,,,,unknown,NA
1000,潤羽るしあ,るしあ,ルシア,given,vtuber,NA,2019,former,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d0513defe0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d0513defe0.svg,Q90815761,Rushia Ch. 潤羽るしあ,元バーチャルYouTuber。,1260000,2026-08-18,,,,unknown,NA
1000,潤羽るしあ,潤羽るしあ,ウルハルシア,full,vtuber,NA,2019,former,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d0513defe0.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d0513defe0.svg,Q90815761,Rushia Ch. 潤羽るしあ,元バーチャルYouTuber。,1260000,2026-08-18,,,,unknown,NA
1001,火威青,火威,ヒオドシ,family,vtuber,ReGLOSS/hololive DEV_IS,2023,former,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Hiodoshi-Ao_pr-img_01_a.png,https://hololive.hololivepro.com/talents/hiodoshi-ao/,Q124130254,Ao Ch. 火威青 ‐ ReGLOSS,元VTuber、バーチャルアイドル。,722000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1001,火威青,青,アオ,given,vtuber,ReGLOSS/hololive DEV_IS,2023,former,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Hiodoshi-Ao_pr-img_01_a.png,https://hololive.hololivepro.com/talents/hiodoshi-ao/,Q124130254,Ao Ch. 火威青 ‐ ReGLOSS,元VTuber、バーチャルアイドル。,722000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1001,火威青,火威青,ヒオドシアオ,full,vtuber,ReGLOSS/hololive DEV_IS,2023,former,https://hololive.hololivepro.com/wp-content/uploads/2023/09/Hiodoshi-Ao_pr-img_01_a.png,https://hololive.hololivepro.com/talents/hiodoshi-ao/,Q124130254,Ao Ch. 火威青 ‐ ReGLOSS,元VTuber、バーチャルアイドル。,722000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1002,燦鳥ノム,燦鳥,サントリ,family,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_514715a616.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_514715a616.svg,Q64777402,燦鳥ノム - SUNTORY NOMU -,サントリー公式キャラクター、バーチャルYouTuber、歌手。,171000,2026-08-18,,,,japan,NA
1002,燦鳥ノム,ノム,ノム,given,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_514715a616.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_514715a616.svg,Q64777402,燦鳥ノム - SUNTORY NOMU -,サントリー公式キャラクター、バーチャルYouTuber、歌手。,171000,2026-08-18,,,,japan,NA
1002,燦鳥ノム,燦鳥ノム,サントリノム,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_514715a616.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_514715a616.svg,Q64777402,燦鳥ノム - SUNTORY NOMU -,サントリー公式キャラクター、バーチャルYouTuber、歌手。,171000,2026-08-18,,,,japan,NA
1003,物述有栖,物述,モノノベ,family,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/2ccb380ae3874f3b82c6c3ca09297bee/liver-full-body_Alice_Mononobe.png.webp,https://www.nijisanji.jp/talents/l/alice-mononobe,Q93879940,♥️♠️物述有栖♦️♣️,雑談や歌を主体とした生放送を配信している。,261000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1003,物述有栖,有栖,アリス,given,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/2ccb380ae3874f3b82c6c3ca09297bee/liver-full-body_Alice_Mononobe.png.webp,https://www.nijisanji.jp/talents/l/alice-mononobe,Q93879940,♥️♠️物述有栖♦️♣️,雑談や歌を主体とした生放送を配信している。,261000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1003,物述有栖,物述有栖,モノノベアリス,full,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/2ccb380ae3874f3b82c6c3ca09297bee/liver-full-body_Alice_Mononobe.png.webp,https://www.nijisanji.jp/talents/l/alice-mononobe,Q93879940,♥️♠️物述有栖♦️♣️,雑談や歌を主体とした生放送を配信している。,261000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1004,猫又おかゆ,猫又,ネコマタ,family,vtuber,ホロライブ/ホロライブゲーマーズ,2019,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Nekomata-Okayu_pr-img_01.png,https://hololive.hololivepro.com/talents/nekomata-okayu/,Q88885593,Okayu Ch. 猫又おかゆ,ホロライブのゲーム実況を中心に活動するユニット「ホロライブゲーマーズ」（以下「ゲーマーズ」）のメンバー。,2130000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1004,猫又おかゆ,おかゆ,オカユ,given,vtuber,ホロライブ/ホロライブゲーマーズ,2019,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Nekomata-Okayu_pr-img_01.png,https://hololive.hololivepro.com/talents/nekomata-okayu/,Q88885593,Okayu Ch. 猫又おかゆ,ホロライブのゲーム実況を中心に活動するユニット「ホロライブゲーマーズ」（以下「ゲーマーズ」）のメンバー。,2130000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1004,猫又おかゆ,猫又おかゆ,ネコマタオカユ,full,vtuber,ホロライブ/ホロライブゲーマーズ,2019,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Nekomata-Okayu_pr-img_01.png,https://hololive.hololivepro.com/talents/nekomata-okayu/,Q88885593,Okayu Ch. 猫又おかゆ,ホロライブのゲーム実況を中心に活動するユニット「ホロライブゲーマーズ」（以下「ゲーマーズ」）のメンバー。,2130000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1005,猫宮ひなた,猫宮,ネコミヤ,family,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_09856d98f8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_09856d98f8.svg,Q64437793,ひなたチャンネル (Hinata Channel),2020年よりフリーで活動。,494000,2026-08-18,,,,japan,NA
1005,猫宮ひなた,ひなた,ヒナタ,given,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_09856d98f8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_09856d98f8.svg,Q64437793,ひなたチャンネル (Hinata Channel),2020年よりフリーで活動。,494000,2026-08-18,,,,japan,NA
1005,猫宮ひなた,猫宮ひなた,ネコミヤヒナタ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_09856d98f8.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_09856d98f8.svg,Q64437793,ひなたチャンネル (Hinata Channel),2020年よりフリーで活動。,494000,2026-08-18,,,,japan,NA
1006,獅白ぼたん,獅白,シシロ,family,vtuber,ホロライブプロダクション,2020,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Shishiro-Botan_pr-img_01.webp,https://hololive.hololivepro.com/talents/shishiro-botan/,Q105432506,Botan Ch.獅白ぼたん,ゲームでは効率を重視する、ホワイトライオンのVTuber。,1590000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1006,獅白ぼたん,ぼたん,ボタン,given,vtuber,ホロライブプロダクション,2020,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Shishiro-Botan_pr-img_01.webp,https://hololive.hololivepro.com/talents/shishiro-botan/,Q105432506,Botan Ch.獅白ぼたん,ゲームでは効率を重視する、ホワイトライオンのVTuber。,1590000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1006,獅白ぼたん,獅白ぼたん,シシロボタン,full,vtuber,ホロライブプロダクション,2020,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Shishiro-Botan_pr-img_01.webp,https://hololive.hololivepro.com/talents/shishiro-botan/,Q105432506,Botan Ch.獅白ぼたん,ゲームでは効率を重視する、ホワイトライオンのVTuber。,1590000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1007,理芽,理芽,リメ,full,vtuber,V.W.P,2019,current,https://kamitsubaki.jp/wp-content/uploads/2020/09/KT_HP_1280x600.jpg,https://kamitsubaki.jp/artist/rim/,Q105086270,理芽 -RIM-,日本の歌手、バーチャルシンガー。,401000,2026-08-18,理芽 / V.W.P,noncommercial_fanwork,https://kamitsubaki.jp/guidelines/,japan,NA
1008,甘狼このみ,甘狼,アマカミ,family,vtuber,NA,2022,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_63c9038a83.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_63c9038a83.svg,Q123415015,甘狼このみ / AmakamiKonomi🐺🍫,自作の2Dアバターを使用し、イラスト描画、雑談、ゲーム実況を主体とした生放送をYouTubeで配信している。,844000,2026-08-18,,,,japan,NA
1008,甘狼このみ,このみ,コノミ,given,vtuber,NA,2022,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_63c9038a83.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_63c9038a83.svg,Q123415015,甘狼このみ / AmakamiKonomi🐺🍫,自作の2Dアバターを使用し、イラスト描画、雑談、ゲーム実況を主体とした生放送をYouTubeで配信している。,844000,2026-08-18,,,,japan,NA
1008,甘狼このみ,甘狼このみ,アマカミコノミ,full,vtuber,NA,2022,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_63c9038a83.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_63c9038a83.svg,Q123415015,甘狼このみ / AmakamiKonomi🐺🍫,自作の2Dアバターを使用し、イラスト描画、雑談、ゲーム実況を主体とした生放送をYouTubeで配信している。,844000,2026-08-18,,,,japan,NA
1009,甲斐田晴,甲斐田,カイダ,family,vtuber,ROF-MAO/にじさんじ,2020,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/79a8248101f24357ba2be23dc2c62b80/liver-full-body_Haru_Kaida.png.webp,https://www.nijisanji.jp/talents/l/haru-kaida,Q111011060,甲斐田 晴 / Kaida Haru【にじさんじ】,屋敷で「魔」の研究に没頭する研究者という設定のライバー。,738000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1009,甲斐田晴,晴,ハル,given,vtuber,ROF-MAO/にじさんじ,2020,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/79a8248101f24357ba2be23dc2c62b80/liver-full-body_Haru_Kaida.png.webp,https://www.nijisanji.jp/talents/l/haru-kaida,Q111011060,甲斐田 晴 / Kaida Haru【にじさんじ】,屋敷で「魔」の研究に没頭する研究者という設定のライバー。,738000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1009,甲斐田晴,甲斐田晴,カイダハル,full,vtuber,ROF-MAO/にじさんじ,2020,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/79a8248101f24357ba2be23dc2c62b80/liver-full-body_Haru_Kaida.png.webp,https://www.nijisanji.jp/talents/l/haru-kaida,Q111011060,甲斐田 晴 / Kaida Haru【にじさんじ】,屋敷で「魔」の研究に没頭する研究者という設定のライバー。,738000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1010,町田ちま,町田,マチタ,family,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/7aa64a981bfc4af480111bcb00e252c9/liver-full_body_Chima_Machita.png,https://www.nijisanji.jp/talents/l/chima-machita,Q110065620,町田ちま【にじさんじ】,歌手を夢見て配信を始め、日々歌の練習に取り組むライバー。,917000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1010,町田ちま,ちま,チマ,given,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/7aa64a981bfc4af480111bcb00e252c9/liver-full_body_Chima_Machita.png,https://www.nijisanji.jp/talents/l/chima-machita,Q110065620,町田ちま【にじさんじ】,歌手を夢見て配信を始め、日々歌の練習に取り組むライバー。,917000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1010,町田ちま,町田ちま,マチタチマ,full,vtuber,にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/7aa64a981bfc4af480111bcb00e252c9/liver-full_body_Chima_Machita.png,https://www.nijisanji.jp/talents/l/chima-machita,Q110065620,町田ちま【にじさんじ】,歌手を夢見て配信を始め、日々歌の練習に取り組むライバー。,917000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1011,癒月ちょこ,癒月,ユヅキ,family,vtuber,ホロライブ2期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Yuzuki-Choco_pr-img_01.webp,https://hololive.hololivepro.com/talents/yuzuki-choco/,Q106833841,Choco Ch. 癒月ちょこ,お菓子好きで、魔界の学校の保健医という設定のVTuber。,1120000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1011,癒月ちょこ,ちょこ,チョコ,given,vtuber,ホロライブ2期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Yuzuki-Choco_pr-img_01.webp,https://hololive.hololivepro.com/talents/yuzuki-choco/,Q106833841,Choco Ch. 癒月ちょこ,お菓子好きで、魔界の学校の保健医という設定のVTuber。,1120000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1011,癒月ちょこ,癒月ちょこ,ユヅキチョコ,full,vtuber,ホロライブ2期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Yuzuki-Choco_pr-img_01.webp,https://hololive.hololivepro.com/talents/yuzuki-choco/,Q106833841,Choco Ch. 癒月ちょこ,お菓子好きで、魔界の学校の保健医という設定のVTuber。,1120000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1012,白上フブキ,白上,シラカミ,family,vtuber,いろはにほへっと あやふぶみ/カバー株式会社/ホロライブ1期生/ホロライブゲーマーズ,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirakami-Fubuki_pr-img_01.webp,https://hololive.hololivepro.com/talents/shirakami-fubuki/,Q85323946,フブキCh。白上フブキ,人とのおしゃべりを楽しみ、トップアイドルを目指す白髪のオタク狐。,2670000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1012,白上フブキ,フブキ,フブキ,given,vtuber,いろはにほへっと あやふぶみ/カバー株式会社/ホロライブ1期生/ホロライブゲーマーズ,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirakami-Fubuki_pr-img_01.webp,https://hololive.hololivepro.com/talents/shirakami-fubuki/,Q85323946,フブキCh。白上フブキ,人とのおしゃべりを楽しみ、トップアイドルを目指す白髪のオタク狐。,2670000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1012,白上フブキ,白上フブキ,シラカミフブキ,full,vtuber,いろはにほへっと あやふぶみ/カバー株式会社/ホロライブ1期生/ホロライブゲーマーズ,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirakami-Fubuki_pr-img_01.webp,https://hololive.hololivepro.com/talents/shirakami-fubuki/,Q85323946,フブキCh。白上フブキ,人とのおしゃべりを楽しみ、トップアイドルを目指す白髪のオタク狐。,2670000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1013,白砂あやね,白砂,シラサ,family,vtuber,にじさんじ,2025,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/a722cc16753b409e82d02161995c1dd4/liver-full-body_Ayane_Shirasa.png,https://www.nijisanji.jp/talents/l/ayane-shirasa,Q138141100,白砂あやね / Shirasa Ayane【にじさんじ】,声や物語で人を楽しませることを夢見る、創作好きな優等生のライバー。,130000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1013,白砂あやね,あやね,アヤネ,given,vtuber,にじさんじ,2025,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/a722cc16753b409e82d02161995c1dd4/liver-full-body_Ayane_Shirasa.png,https://www.nijisanji.jp/talents/l/ayane-shirasa,Q138141100,白砂あやね / Shirasa Ayane【にじさんじ】,声や物語で人を楽しませることを夢見る、創作好きな優等生のライバー。,130000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1013,白砂あやね,白砂あやね,シラサアヤネ,full,vtuber,にじさんじ,2025,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/a722cc16753b409e82d02161995c1dd4/liver-full-body_Ayane_Shirasa.png,https://www.nijisanji.jp/talents/l/ayane-shirasa,Q138141100,白砂あやね / Shirasa Ayane【にじさんじ】,声や物語で人を楽しませることを夢見る、創作好きな優等生のライバー。,130000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
1014,白銀ノエル,白銀,シロガネ,family,vtuber,ホロライブ/ホロライブ3期生,2019,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirogane-Noel_pr-img_01.webp,https://hololive.hololivepro.com/talents/shirogane-noel/,Q99470410,Noel Ch. 白銀ノエル,おっとりした性格ながら筋力で物事を解決しようとする、女騎士のVTuber。,2050000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1014,白銀ノエル,ノエル,ノエル,given,vtuber,ホロライブ/ホロライブ3期生,2019,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirogane-Noel_pr-img_01.webp,https://hololive.hololivepro.com/talents/shirogane-noel/,Q99470410,Noel Ch. 白銀ノエル,おっとりした性格ながら筋力で物事を解決しようとする、女騎士のVTuber。,2050000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1014,白銀ノエル,白銀ノエル,シロガネノエル,full,vtuber,ホロライブ/ホロライブ3期生,2019,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Shirogane-Noel_pr-img_01.webp,https://hololive.hololivepro.com/talents/shirogane-noel/,Q99470410,Noel Ch. 白銀ノエル,おっとりした性格ながら筋力で物事を解決しようとする、女騎士のVTuber。,2050000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1015,百鬼あやめ,百鬼,ナキリ,family,vtuber,いろはにほへっと あやふぶみ/ホロライブ/ホロライブ2期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Nakiri-Ayame_pr-img_01.webp,https://hololive.hololivepro.com/talents/nakiri-ayame/,Q106714182,Nakiri Ayame Ch. 百鬼あやめ,いたずら好きで、魔界学校の生徒会長という設定の和装の鬼のVTuber。,1720000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
1015,百鬼あやめ,あやめ,アヤメ,given,vtuber,いろはにほへっと あやふぶみ/ホロライブ/ホロライブ2期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Nakiri-Ayame_pr-img_01.webp,https://hololive.hololivepro.com/talents/nakiri-ayame/,Q106714182,Nakiri Ayame Ch. 百鬼あやめ,いたずら好きで、魔界学校の生徒会長という設定の和装の鬼のVTuber。,1720000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
