id,original,surface,pronunciation,class,vertebrate,order,family,description,image,image_page,wikidata
74,バショウカジキ,バショウカジキ,バショウカジキ,魚類,脊椎動物,カジキ目,マカジキ科,帆のように大きな第一背びれを広げ長い吻で小魚の群れを追い込む。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q694527
75,メカジキ,メカジキ,メカジキ,魚類,脊椎動物,カジキ目,メカジキ科,平たく長い剣状の上顎を持ち背びれと腹びれを体内へ収納して高速で泳ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q164327
76,クロカジキ,クロカジキ,クロカジキ,魚類,脊椎動物,カジキ目,マカジキ科,濃い青色の背と長い槍状の上顎を持ち熱帯の外洋で大型魚を追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q2563629
77,マアジ,マアジ,マアジ,魚類,脊椎動物,アジ目,アジ科,体側後半に硬い稜鱗が並び沿岸で動物プランクトンや小魚を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1330320
78,シマアジ,シマアジ,シマアジ,魚類,脊椎動物,アジ目,アジ科,体側中央に黄色い帯が走り岩礁域で甲殻類や小魚を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
79,ブリ,ブリ,ブリ,魚類,脊椎動物,アジ目,アジ科,成長に伴い呼び名が変わる魚で沿岸を回遊しイワシなどの群れを追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1202973
80,カンパチ,カンパチ,カンパチ,魚類,脊椎動物,アジ目,アジ科,目を通る斜めの暗色帯が八の字に見え暖海の岩礁で魚やイカを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q575704
81,ヒラマサ,ヒラマサ,ヒラマサ,魚類,脊椎動物,アジ目,アジ科,上顎後端が目の中央下まで届き細長い体で沖合の小魚を高速で追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q2157453
82,マイワシ,マイワシ,マイワシ,魚類,脊椎動物,ニシン目,ニシン科,体側に黒い斑点列があり大群で沿岸を回遊してプランクトンを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q2069084
83,カタクチイワシ,カタクチイワシ,カタクチイワシ,魚類,脊椎動物,ニシン目,カタクチイワシ科,上顎より下顎が前へ出た大きな口で沿岸のプランクトンをこし取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q516676
84,ウルメイワシ,ウルメイワシ,ウルメイワシ,魚類,脊椎動物,ニシン目,ウルメイワシ科,脂瞼に覆われた大きな目を持ち外洋で動物プランクトンを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q3437726
85,ニシン,ニシン,ニシン,魚類,脊椎動物,ニシン目,ニシン科,春に沿岸の海藻へ粘着性の卵を産み北太平洋の冷水域を群泳する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
86,サンマ,サンマ,サンマ,魚類,脊椎動物,ダツ目,サンマ科,細長い体とくちばし状の口を持ち秋に日本近海を南下して小動物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1195079
87,トビウオ,トビウオ,トビウオ,魚類,脊椎動物,ダツ目,トビウオ科,大きな胸びれを翼のように広げ尾びれで加速して海面上を滑空する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
88,マサバ,マサバ,マサバ,魚類,脊椎動物,サバ目,サバ科,背面の波状模様と腹面の銀白色が特徴で沿岸を群れで回遊する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q815837
89,ゴマサバ,ゴマサバ,ゴマサバ,魚類,脊椎動物,サバ目,サバ科,腹側に小さな黒点が散り暖流域で小魚や動物プランクトンを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1194328
90,タチウオ,タチウオ,タチウオ,魚類,脊椎動物,サバ目,タチウオ科,銀白色の帯状の体を立てるように泳ぎ夜間は浅層へ上がって小魚を狙う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1139971
91,マダイ,マダイ,マダイ,魚類,脊椎動物,タイ目,タイ科,赤い体に青い小斑点が散り丈夫な臼歯で甲殻類や貝類を砕く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1196387
92,クロダイ,クロダイ,クロダイ,魚類,脊椎動物,タイ目,タイ科,河口や内湾にも入り若い個体では雄から雌へ性転換するものが多い。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
93,キダイ,キダイ,キダイ,魚類,脊椎動物,タイ目,タイ科,体が淡い黄赤色で水深のある砂泥底に暮らし甲殻類や多毛類を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q3768067
94,イシダイ,イシダイ,イシダイ,魚類,脊椎動物,スズキ目,イシダイ科,幼魚には黒い横縞があり丈夫なくちばし状の歯でウニや貝を砕く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1058149
95,イシガキダイ,イシガキダイ,イシガキダイ,魚類,脊椎動物,スズキ目,イシダイ科,全身に黒褐色の斑点が散り岩礁でウニや甲殻類を強い歯で砕く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1842681
96,スズキ,スズキ,スズキ,魚類,脊椎動物,スズキ目,スズキ科,河川の淡水域にも入り成長につれて沿岸へ移動して魚やエビを捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1151311
97,ヒラスズキ,ヒラスズキ,ヒラスズキ,魚類,脊椎動物,スズキ目,スズキ科,銀白色の体と大きな尾びれを持ち波の荒い外洋沿岸で小魚を追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1920847
98,クエ,クエ,クエ,魚類,脊椎動物,スズキ目,ハタ科,暗褐色の大きな体を岩礁の穴に潜め夜間に魚やイセエビを捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q707049
99,キジハタ,キジハタ,キジハタ,魚類,脊椎動物,スズキ目,ハタ科,橙赤色の体に黄色い斑点が散り暖海の岩礁や藻場で小魚を狙う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q703903
100,アカハタ,アカハタ,アカハタ,魚類,脊椎動物,スズキ目,ハタ科,赤い体に白い小斑点が散りサンゴ礁の岩陰から甲殻類や魚を襲う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q2281131
101,マハタ,マハタ,マハタ,魚類,脊椎動物,スズキ目,ハタ科,褐色の体に不規則な斑紋があり岩礁の穴を根城に魚や甲殻類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q3760797
102,メバル,メバル,メバル,魚類,脊椎動物,スズキ目,メバル科,大きな目と張り出した腹を持ち岩礁や藻場で群れをつくって小魚を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
103,カサゴ,カサゴ,カサゴ,魚類,脊椎動物,スズキ目,メバル科,頭部と背びれに鋭い棘を持ち岩陰で待ち伏せして小魚や甲殻類を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q830466
104,ヒラメ,ヒラメ,ヒラメ,魚類,脊椎動物,カレイ目,ヒラメ科,両眼が体の左側に寄り砂底へ体を隠して小魚や甲殻類を待ち伏せる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1322753
105,マコガレイ,マコガレイ,マコガレイ,魚類,脊椎動物,カレイ目,カレイ科,両眼が体の右側に寄り内湾の砂泥底で多毛類や小型甲殻類を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1046212
106,ホシガレイ,ホシガレイ,ホシガレイ,魚類,脊椎動物,カレイ目,カレイ科,背びれと尻びれに黒い斑紋が並び砂底でゴカイや甲殻類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1046241
107,トラフグ,トラフグ,トラフグ,魚類,脊椎動物,フグ目,フグ科,強いくちばし状の歯と体内の毒を持ち沿岸から沖合へ季節的に移動する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1065355
108,クサフグ,クサフグ,クサフグ,魚類,脊椎動物,フグ目,フグ科,砂浜の浅瀬へ大群で押し寄せて産卵し刺激を受けると体を膨らませる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q2418053
109,ハリセンボン,ハリセンボン,ハリセンボン,魚類,脊椎動物,フグ目,ハリセンボン科,驚くと水を飲んで膨らみ普段は寝ている長い棘を立てて身を守る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1329475
110,マンボウ,マンボウ,マンボウ,魚類,脊椎動物,フグ目,マンボウ科,円盤状の大きな体と短い尾を持ち外洋でクラゲなどのゼラチン質動物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q192285
111,チョウチョウウオ,チョウチョウウオ,チョウチョウウオ,魚類,脊椎動物,スズキ目,チョウチョウウオ科,目を通る黒い帯と黄色い体が目立ちサンゴ礁でサンゴのポリプをついばむ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q324044
112,ツノダシ,ツノダシ,ツノダシ,魚類,脊椎動物,スズキ目,ツノダシ科,非常に長い背びれと白黒黄色の帯模様を持ちサンゴ礁で小動物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q941448
113,ナンヨウハギ,ナンヨウハギ,ナンヨウハギ,魚類,脊椎動物,スズキ目,ニザダイ科,鮮やかな青い体と黄色い尾を持ちサンゴ礁で藻類をついばんで食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q278307
114,ハマクマノミ,ハマクマノミ,ハマクマノミ,魚類,脊椎動物,スズキ目,スズメダイ科,目の後ろに一本の白帯があり大型のイソギンチャクと共生して暮らす。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q74366
115,ミズクラゲ,ミズクラゲ,ミズクラゲ,無脊椎動物,無脊椎動物,旗口クラゲ目,ミズクラゲ科,透明な傘に四つの馬蹄形の生殖腺が透け浅い内湾を漂う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
116,アカクラゲ,アカクラゲ,アカクラゲ,無脊椎動物,無脊椎動物,旗口クラゲ目,オキクラゲ科,赤褐色の縞がある傘から長い触手を伸ばし小動物を捕らえる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
117,エチゼンクラゲ,エチゼンクラゲ,エチゼンクラゲ,無脊椎動物,無脊椎動物,根口クラゲ目,ビゼンクラゲ科,巨大な傘と太い口腕を持ち東アジアの海を季節的に移動する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
118,タコクラゲ,タコクラゲ,タコクラゲ,無脊椎動物,無脊椎動物,根口クラゲ目,タコクラゲ科,褐藻と共生する丸い傘を持ち暖かな浅海で上下に泳ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
119,カツオノエボシ,カツオノエボシ,カツオノエボシ,無脊椎動物,無脊椎動物,クダクラゲ目,カツオノエボシ科,青い浮き袋を海面に出し長い刺胞触手で魚を捕らえる群体。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
120,アンドンクラゲ,アンドンクラゲ,アンドンクラゲ,無脊椎動物,無脊椎動物,アンドンクラゲ目,アンドンクラゲ科,箱形の傘の四隅から触手を伸ばし夏の沿岸に現れる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
121,ウミサボテン,ウミサボテン,ウミサボテン,無脊椎動物,無脊椎動物,ウミエラ目,ウミサボテン科,砂泥底に埋まる群体で夜に伸びて羽毛状のポリプを開く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
122,ウミエラ,ウミエラ,ウミエラ,無脊椎動物,無脊椎動物,ウミエラ目,ウミエラ科,羽根状の群体を砂泥底に立て流れてくる微粒子を捕らえる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
123,ウメボシイソギンチャク,ウメボシイソギンチャク,ウメボシイソギンチャク,無脊椎動物,無脊椎動物,イソギンチャク目,ウメボシイソギンチャク科,暗赤色の体を岩陰に密集させ干潮時には触手を縮めて乾燥を防ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
124,センジュイソギンチャク,センジュイソギンチャク,センジュイソギンチャク,無脊椎動物,無脊椎動物,イソギンチャク目,ハタゴイソギンチャク科,大きな口盤に多数の触手を広げクマノミ類と共生する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
125,アカサンゴ,アカサンゴ,アカサンゴ,無脊椎動物,無脊椎動物,ウミトサカ目,サンゴ科,硬い赤色骨格を枝状に伸ばし深い岩礁で小動物を捕らえる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
126,ミドリイシ,ミドリイシ,ミドリイシ,無脊椎動物,無脊椎動物,イシサンゴ目,ミドリイシ科,浅いサンゴ礁で枝状や卓状の群体を作り褐虫藻と共生する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
127,マダコ,マダコ,マダコ,無脊椎動物,無脊椎動物,タコ目,マダコ科,岩礁や砂地に潜み甲殻類や貝を腕で捕らえ硬い殻を砕く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
128,ミズダコ,ミズダコ,ミズダコ,無脊椎動物,無脊椎動物,タコ目,マダコ科,寒冷な北太平洋にすみ腕を広げると数メートルに達する大型のタコ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
129,イイダコ,イイダコ,イイダコ,無脊椎動物,無脊椎動物,タコ目,マダコ科,内湾の砂泥底で二枚貝や甲殻類を食べ貝殻にもぐって身を守る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
130,テナガダコ,テナガダコ,テナガダコ,無脊椎動物,無脊椎動物,タコ目,マダコ科,胴より著しく長い腕を持ち浅い砂泥底に潜って小動物を探す。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
131,アオリイカ,アオリイカ,アオリイカ,無脊椎動物,無脊椎動物,ツツイカ目,ヤリイカ科,楕円形のひれを胴の全長に広げ沿岸の藻場で魚や甲殻類を捕る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
132,ヤリイカ,ヤリイカ,ヤリイカ,無脊椎動物,無脊椎動物,ツツイカ目,ヤリイカ科,細長い胴と槍形のひれを持ち沿岸から沖合で小魚を追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
133,スルメイカ,スルメイカ,スルメイカ,無脊椎動物,無脊椎動物,ツツイカ目,アカイカ科,日本周辺を季節回遊し群れで小魚や甲殻類を捕らえる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
134,コウイカ,コウイカ,コウイカ,無脊椎動物,無脊椎動物,コウイカ目,コウイカ科,石灰質の甲を胴内に持ち体色を変えながら海底近くを泳ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
135,ダイオウイカ,ダイオウイカ,ダイオウイカ,無脊椎動物,無脊椎動物,ツツイカ目,ダイオウイカ科,深海にすむ巨大なイカで二本の長い触腕に吸盤が並ぶ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
136,オウムガイ,オウムガイ,オウムガイ,無脊椎動物,無脊椎動物,オウムガイ目,オウムガイ科,多数の気室を備えた殻で浮力を調節し夜に浅層へ上がる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
137,アワビ,アワビ,アワビ,無脊椎動物,無脊椎動物,古腹足目,ミミガイ科,岩礁に強い足で付着し歯舌で岩表面の海藻を削り取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
138,サザエ,サザエ,サザエ,無脊椎動物,無脊椎動物,古腹足目,リュウテン科,とげのある巻貝で岩礁を歩きながら付着藻類を歯舌で食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
139,ホタテガイ,ホタテガイ,ホタテガイ,無脊椎動物,無脊椎動物,イタヤガイ目,イタヤガイ科,扇形の殻を開閉して泳ぎ海水から植物プランクトンを濾し取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
140,マガキ,マガキ,マガキ,無脊椎動物,無脊椎動物,カキ目,イタボガキ科,不規則な殻で岩などに固着し鰓で海水中の微粒子を濾し取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
141,アサリ,アサリ,アサリ,無脊椎動物,無脊椎動物,マルスダレガイ目,マルスダレガイ科,浅い砂泥底に潜り二本の水管を伸ばして微細な餌を濾し取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
142,ハマグリ,ハマグリ,ハマグリ,無脊椎動物,無脊椎動物,マルスダレガイ目,マルスダレガイ科,内湾の砂地に潜り丸みのある厚い殻から水管を伸ばす。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
143,アオウミウシ,アオウミウシ,アオウミウシ,無脊椎動物,無脊椎動物,裸鰓目,イロウミウシ科,青い体に黄色い斑紋と赤い突起があり岩礁で付着生物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
144,アメフラシ,アメフラシ,アメフラシ,無脊椎動物,無脊椎動物,アメフラシ目,アメフラシ科,海藻を食べ刺激を受けると紫色の液を出して身を守る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
145,イセエビ,イセエビ,イセエビ,無脊椎動物,無脊椎動物,十脚目,イセエビ科,長い触角と硬い甲を持ち夜の岩礁で貝や小動物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
146,クルマエビ,クルマエビ,クルマエビ,無脊椎動物,無脊椎動物,十脚目,クルマエビ科,砂泥底に潜り夜になると出てきて小動物や有機物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
147,ボタンエビ,ボタンエビ,ボタンエビ,無脊椎動物,無脊椎動物,十脚目,タラバエビ科,深い海の泥底にすみ赤い体と大きな卵を持つ寒海性のエビ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
148,サクラエビ,サクラエビ,サクラエビ,無脊椎動物,無脊椎動物,十脚目,サクラエビ科,駿河湾などの深場で大群を作り日周鉛直移動を行う小型のエビ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
149,アマエビ,アマエビ,アマエビ,無脊椎動物,無脊椎動物,十脚目,タラバエビ科,北方の深い海底にすみ成長の途中で雄から雌へ性転換する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_invertebrate.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_invertebrate.svg,
