id,original,surface,pronunciation,subject,level,description,image,image_page,wikidata
992,谷川俊太郎,谷川俊太郎,タニカワシュンタロウ,国語,小学校/中学校,春にや朝のリレーなど教科書の詩で親しまれる詩人。,http://commons.wikimedia.org/wiki/Special:FilePath/Postwar-Japanese-Poets-volume-1-1.jpg,https://commons.wikimedia.org/wiki/File:Postwar-Japanese-Poets-volume-1-1.jpg,Q1377715
993,金子みすゞ,金子みすゞ,カネコミスズ,国語,小学校,私と小鳥とすずとなど童謡詩が教科書に載る詩人。,http://commons.wikimedia.org/wiki/Special:FilePath/Kaneko_Misuzu.jpg,https://commons.wikimedia.org/wiki/File:Kaneko_Misuzu.jpg,Q291489
994,高村光太郎,高村光太郎,タカムラコウタロウ,国語,中学校,詩集道程や智恵子抄で知られる詩人で彫刻家。,http://commons.wikimedia.org/wiki/Special:FilePath/Kotaro_Takamura_by_Shigeru_Tamura.jpg,https://commons.wikimedia.org/wiki/File:Kotaro_Takamura_by_Shigeru_Tamura.jpg,Q1646239
995,萩原朔太郎,萩原朔太郎,ハギワラサクタロウ,国語,中学校,詩集月に吠えるで知られる近代口語詩の詩人。,http://commons.wikimedia.org/wiki/Special:FilePath/Ketteiban-Showashi-volume4-6.jpg,https://commons.wikimedia.org/wiki/File:Ketteiban-Showashi-volume4-6.jpg,Q583527
996,北原白秋,北原白秋,キタハラハクシュウ,国語,中学校,からたちの花など詩や童謡で教科書に載る詩人。,http://commons.wikimedia.org/wiki/Special:FilePath/Kitahara_Hakushu.jpg,https://commons.wikimedia.org/wiki/File:Kitahara_Hakushu.jpg,Q1066026
997,小林一茶,小林一茶,コバヤシイッサ,国語,中学校,やせ蛙などの句で知られる江戸時代の俳人。,http://commons.wikimedia.org/wiki/Special:FilePath/Kobayashi_Issa-Portrait.jpg,https://commons.wikimedia.org/wiki/File:Kobayashi_Issa-Portrait.jpg,Q312709
998,与謝蕪村,与謝蕪村,ヨサブソン,国語,中学校,菜の花やの句で知られる江戸時代の俳人で画家。,http://commons.wikimedia.org/wiki/Special:FilePath/Yosa_Buson.jpg,https://commons.wikimedia.org/wiki/File:Yosa_Buson.jpg,Q31523
999,西行,西行,サイギョウ,国語,中学校,歌集山家集を残した平安末期の歌人で旅を重ねた僧。,http://commons.wikimedia.org/wiki/Special:FilePath/PORTRAIT_OF_THE_PRIEST-POET_SAIGYO_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:PORTRAIT_OF_THE_PRIEST-POET_SAIGYO_-_Google_Art_Project.jpg,Q224689
1000,柿本人麻呂,柿本人麻呂,カキノモトノヒトマロ,国語,中学校,万葉集を代表し歌聖とも呼ばれる飛鳥時代の歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/%E6%9F%BF%E6%9C%AC%E4%BA%BA%E9%BA%BB%E5%91%82%EF%BC%88%E7%8B%A9%E9%87%8E%E5%AE%89%E4%BF%A1%E7%AD%86%EF%BC%89.jpg,https://commons.wikimedia.org/wiki/File:%E6%9F%BF%E6%9C%AC%E4%BA%BA%E9%BA%BB%E5%91%82%EF%BC%88%E7%8B%A9%E9%87%8E%E5%AE%89%E4%BF%A1%E7%AD%86%EF%BC%89.jpg,Q380818
1001,山上憶良,山上憶良,ヤマノウエノオクラ,国語,中学校,貧窮問答歌などを残し子を思う歌で知られる万葉集の歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Genryaku_Manyosyu.JPG,https://commons.wikimedia.org/wiki/File:Genryaku_Manyosyu.JPG,Q834321
1002,大伴家持,大伴家持,オオトモノヤカモチ,国語,中学校,万葉集の編者と伝えられる奈良時代の歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Sanj%C5%ABrokkasen-gaku_-_5_-_Kan%C5%8D_Tan%E2%80%99y%C5%AB_-_Ch%C5%ABnagon_Yakamochi.jpg,https://commons.wikimedia.org/wiki/File:Sanj%C5%ABrokkasen-gaku_-_5_-_Kan%C5%8D_Tan%E2%80%99y%C5%AB_-_Ch%C5%ABnagon_Yakamochi.jpg,Q386308
1003,在原業平,在原業平,アリワラノナリヒラ,国語,中学校,伊勢物語の主人公とされる平安時代の歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Sanj%C5%ABrokkasen-gaku_-_7_-_Kan%C5%8D_Tan%E2%80%99y%C5%AB_-_Ariwara_no_Narihira_Ason.jpg,https://commons.wikimedia.org/wiki/File:Sanj%C5%ABrokkasen-gaku_-_7_-_Kan%C5%8D_Tan%E2%80%99y%C5%AB_-_Ariwara_no_Narihira_Ason.jpg,Q451991
1004,小野小町,小野小町,オノノコマチ,国語,中学校,古今和歌集の序で六歌仙に数えられた女性歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Suzuki_Harunobu_-_The_Poetess_Ono_no_Komachi_-_1925.2046_-_Art_Institute_of_Chicago.jpg,https://commons.wikimedia.org/wiki/File:Suzuki_Harunobu_-_The_Poetess_Ono_no_Komachi_-_1925.2046_-_Art_Institute_of_Chicago.jpg,Q198984
1005,藤原定家,藤原定家,フジワラノテイカ,国語,中学校,新古今和歌集の撰者となった鎌倉時代の歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Teika%283%29.jpg,https://commons.wikimedia.org/wiki/File:Teika%283%29.jpg,Q378425
1006,斎藤茂吉,斎藤茂吉,サイトウモキチ,国語,中学校,歌集赤光で知られる近代短歌のアララギ派の歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Magazine_%22Tosho%22_cover%2C_April%2C_1952_issue.jpg,https://commons.wikimedia.org/wiki/File:Magazine_%22Tosho%22_cover%2C_April%2C_1952_issue.jpg,Q3319377
1007,土佐日記,土佐日記,トサニッキ,国語,中学校,紀貫之が女性を装い仮名で書いた平安時代の日記文学。,http://commons.wikimedia.org/wiki/Special:FilePath/Tosa_nikki_copied_by_Teika.JPG,https://commons.wikimedia.org/wiki/File:Tosa_nikki_copied_by_Teika.JPG,Q844452
1008,更級日記,更級日記,サラシナニッキ,国語,中学校,菅原孝標女が物語への憧れを書いた平安時代の日記。,http://commons.wikimedia.org/wiki/Special:FilePath/Teika-sarashina-nikki-calligraphy.png,https://commons.wikimedia.org/wiki/File:Teika-sarashina-nikki-calligraphy.png,Q217955
1009,今昔物語集,今昔物語集,コンジャクモノガタリシュウ,国語,中学校,今は昔で始まる説話を集めた平安時代の説話集。,http://commons.wikimedia.org/wiki/Special:FilePath/KonjakuMonogatarisyu_codex_Suzuka.png,https://commons.wikimedia.org/wiki/File:KonjakuMonogatarisyu_codex_Suzuka.png,Q1507085
1010,宇治拾遺物語,宇治拾遺物語,ウジシュウイモノガタリ,国語,中学校,こぶとりじいさんなどを収めた鎌倉時代の説話集。,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn_Museum_-_The_Dog_of_Mido_Kanapaku_%28Mido_Kanapuko_Dono_no_Inu%29_from_A_Collection_of_Tales_from_Uji_-_Yashima_Gakutei.jpg,https://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_The_Dog_of_Mido_Kanapaku_%28Mido_Kanapuko_Dono_no_Inu%29_from_A_Collection_of_Tales_from_Uji_-_Yashima_Gakutei.jpg,Q2446713
1011,古事記,古事記,コジキ,国語/社会,中学校,神話や歌謡を伝える現存最古の日本の歴史書。,http://commons.wikimedia.org/wiki/Special:FilePath/Kojiki_Shinpukuji.jpg,https://commons.wikimedia.org/wiki/File:Kojiki_Shinpukuji.jpg,Q813031
1012,日本書紀,日本書紀,ニホンショキ,国語/社会,中学校,奈良時代に漢文で編まれた日本の正式な歴史書。,http://commons.wikimedia.org/wiki/Special:FilePath/Nihonshoki_tanaka_version.jpg,https://commons.wikimedia.org/wiki/File:Nihonshoki_tanaka_version.jpg,Q813935
1013,大鏡,大鏡,オオカガミ,国語,高等学校,藤原道長の栄華を対話の形式で描いた歴史物語。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_cb05e58c45.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1014,太平記,太平記,タイヘイキ,国語,中学校,南北朝の争乱を描いた室町時代の軍記物語。,http://commons.wikimedia.org/wiki/Special:FilePath/Taiheiki_-_1698_-_1-5.jpg,https://commons.wikimedia.org/wiki/File:Taiheiki_-_1698_-_1-5.jpg,Q1152189
1015,御伽草子,御伽草子,オトギゾウシ,国語,中学校,一寸法師や浦島太郎などを収めた室町時代の短編物語。,http://commons.wikimedia.org/wiki/Special:FilePath/Tale_of_Issun_B%C5%8Dshi_from_Otogi-z%C5%8Dshi.jpg,https://commons.wikimedia.org/wiki/File:Tale_of_Issun_B%C5%8Dshi_from_Otogi-z%C5%8Dshi.jpg,Q82440
1016,山家集,山家集,サンカシュウ,国語,高等学校,西行の桜や月の和歌を集めた平安末期の私家集。,http://commons.wikimedia.org/wiki/Special:FilePath/PORTRAIT_OF_THE_PRIEST-POET_SAIGYO_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:PORTRAIT_OF_THE_PRIEST-POET_SAIGYO_-_Google_Art_Project.jpg,Q224689
1017,みだれ髪,みだれ髪,ミダレガミ,国語,中学校,与謝野晶子が若い情熱を歌った明治時代の第一歌集。,http://commons.wikimedia.org/wiki/Special:FilePath/Akiko_Yosano_MIDAREGAMI.jpg,https://commons.wikimedia.org/wiki/File:Akiko_Yosano_MIDAREGAMI.jpg,Q11278952
1018,一握の砂,一握の砂,イチアクノスナ,国語,中学校,石川啄木が三行書きの短歌を収めた明治時代の歌集。,http://commons.wikimedia.org/wiki/Special:FilePath/Takuboku_Ishikawa.jpg,https://commons.wikimedia.org/wiki/File:Takuboku_Ishikawa.jpg,Q11352700
1019,春と修羅,春と修羅,ハルトシュラ,国語,中学校,宮沢賢治が生前に自費出版した唯一の詩集。,http://commons.wikimedia.org/wiki/Special:FilePath/Miyazawa_Kenji.jpg,https://commons.wikimedia.org/wiki/File:Miyazawa_Kenji.jpg,Q55993
1020,若菜集,若菜集,ワカナシュウ,国語,中学校,島崎藤村の第一詩集で初恋などの詩を収める。,http://commons.wikimedia.org/wiki/Special:FilePath/Shimazaki_Toson2.jpg,https://commons.wikimedia.org/wiki/File:Shimazaki_Toson2.jpg,Q1093783
1021,春はあけぼの,春はあけぼの,ハルワアケボノ,国語,中学校,枕草子の冒頭で四季の趣を述べ始める有名な一節。,http://commons.wikimedia.org/wiki/Special:FilePath/Sei_Shonagon3.jpg,https://commons.wikimedia.org/wiki/File:Sei_Shonagon3.jpg,Q615137
1022,祇園精舎,祇園精舎,ギオンショウジャ,国語,中学校,平家物語の冒頭に出てくるインドの寺の名。,http://commons.wikimedia.org/wiki/Special:FilePath/Jetavana.jpg,https://commons.wikimedia.org/wiki/File:Jetavana.jpg,Q305242
1023,諸行無常,諸行無常,ショギョウムジョウ,国語,中学校,平家物語の冒頭で説かれる万物は移り変わるという教え。,http://commons.wikimedia.org/wiki/Special:FilePath/2013-01-05_Wood_st%C3%BBpa_Graves_in_Ogo%2CKobe%2CHyogo_prefecture_%E7%A5%9E%E6%88%B8%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B7%A1%E6%B2%B3%E7%94%BA%E3%81%AE%E5%A2%93%E5%9C%B0%E3%81%A8%E6%9C%A8%E8%A3%BD%E5%8D%92%E5%A1%94%E5%A9%86_DSCF4051.JPG,https://commons.wikimedia.org/wiki/File:2013-01-05_Wood_st%C3%BBpa_Graves_in_Ogo%2CKobe%2CHyogo_prefecture_%E7%A5%9E%E6%88%B8%E5%B8%82%E5%8C%97%E5%8C%BA%E6%B7%A1%E6%B2%B3%E7%94%BA%E3%81%AE%E5%A2%93%E5%9C%B0%E3%81%A8%E6%9C%A8%E8%A3%BD%E5%8D%92%E5%A1%94%E5%A9%86_DSCF4051.JPG,Q24885593
1024,盛者必衰,盛者必衰,ジョウシャヒッスイ,国語,中学校,平家物語の冒頭にある栄えた者も必ず衰えるという理。,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%B9%B3%E5%AE%B6%E7%89%A9%E8%AA%9E%EF%BD%A5%E7%A5%87%E5%9C%92%E7%B2%BE%E8%88%8E%E3%82%B5%E3%83%B3%E3%83%97%E3%83%AB.png,https://commons.wikimedia.org/wiki/File:%E5%B9%B3%E5%AE%B6%E7%89%A9%E8%AA%9E%EF%BD%A5%E7%A5%87%E5%9C%92%E7%B2%BE%E8%88%8E%E3%82%B5%E3%83%B3%E3%83%97%E3%83%AB.png,Q830740
1025,つれづれなるままに,つれづれなるままに,ツレヅレナルママニ,国語,中学校,徒然草の冒頭に置かれた有名な書き出しの言葉。,http://commons.wikimedia.org/wiki/Special:FilePath/Tsurezuregusa_Codex_Shotetsu.png,https://commons.wikimedia.org/wiki/File:Tsurezuregusa_Codex_Shotetsu.png,Q1350535
1026,ゆく河の流れ,ゆく河の流れ,ユクカワノナガレ,国語,中学校,方丈記の冒頭で無常を語り出す有名な一節。,http://commons.wikimedia.org/wiki/Special:FilePath/Hojyoki_codex_Daifukukohji.jpg,https://commons.wikimedia.org/wiki/File:Hojyoki_codex_Daifukukohji.jpg,Q636364
1027,をかし,をかし,オカシ,国語,中学校,枕草子に多く使われる趣があるという意味の古語。,http://commons.wikimedia.org/wiki/Special:FilePath/Sei_Shonagon3.jpg,https://commons.wikimedia.org/wiki/File:Sei_Shonagon3.jpg,Q615137
1028,あはれ,あはれ,アワレ,国語,中学校,古典でしみじみと心を動かされる情趣を表す言葉。,http://commons.wikimedia.org/wiki/Special:FilePath/Genji_emaki_azumaya.jpg,https://commons.wikimedia.org/wiki/File:Genji_emaki_azumaya.jpg,Q3131044
1029,連用形,連用形,レンヨウケイ,国語,中学校,用言の活用形の一つで用言や助詞に続く形。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_cbb8695438.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1030,終止形,終止形,シュウシケイ,国語,中学校,文を言い切る形で辞書の見出しにもなる活用形。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_3fb076b31e.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1031,仮定形,仮定形,カテイケイ,国語,中学校,ばということばに続いて条件を表すときに使う活用形。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_dc7b97378e.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1032,命令形,命令形,メイレイケイ,国語,中学校,相手に命じて言い切るときに使う用言の活用形。,http://commons.wikimedia.org/wiki/Special:FilePath/Japan_road_sign_330-B.svg,https://commons.wikimedia.org/wiki/File:Japan_road_sign_330-B.svg,Q4348304
1033,音便,音便,オンビン,国語,中学校,発音しやすいように語の音が変化する現象のこと。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_ed2047dff4.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1034,イ音便,イ音便,イオンビン,国語,中学校,書きてが書いてに変わるように音がイになる音便。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_27f4984c20.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1035,撥音便,撥音便,ハツオンビン,国語,中学校,読みてが読んでに変わるように音がンになる音便。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_b2e6c350b2.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1036,促音便,促音便,ソクオンビン,国語,中学校,立ちてが立ってに変わるように音が小さいツになる音便。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_0cfbb88ab7.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1037,格助詞,格助詞,カクジョシ,国語,中学校,がやにやをなど語と語の関係を示す働きの助詞。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_5505e63c02.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1038,接続助詞,接続助詞,セツゾクジョシ,国語,中学校,ばやのでのように前後をつなぐ働きをする助詞。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_cda3e74726.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1039,副助詞,副助詞,フクジョシ,国語,中学校,だけやしかなどいろいろな意味を添える働きの助詞。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_d8a7ed8b05.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1040,終助詞,終助詞,シュウジョシ,国語,中学校,かやねなど文末について話し手の気持ちを表す助詞。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_1e1aac6bcf.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1041,自立語,自立語,ジリツゴ,国語,中学校,それだけで文節を作ることができる単語のこと。,http://commons.wikimedia.org/wiki/Special:FilePath/Human_Language_Families_%28wikicolors%29.png,https://commons.wikimedia.org/wiki/File:Human_Language_Families_%28wikicolors%29.png,Q82042
1042,付属語,付属語,フゾクゴ,国語,中学校,自立語について文節を作る助詞や助動詞のこと。,http://commons.wikimedia.org/wiki/Special:FilePath/Human_Language_Families_%28wikicolors%29.png,https://commons.wikimedia.org/wiki/File:Human_Language_Families_%28wikicolors%29.png,Q82042
1043,文節,文節,ブンセツ,国語,中学校,文をネと区切って読んだときの最小のまとまり。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_d258747049.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1044,可能動詞,可能動詞,カノウドウシ,国語,中学校,読めるのようにできるという意味をもつ動詞。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_48e35fa8d3.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1045,掛詞,掛詞,カケコトバ,国語,中学校,一つの語に二つの意味を重ねる和歌の表現技法。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_c92d07a3ae.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1046,序詞,序詞,ジョコトバ,国語,高等学校,ある語を導くために前に置く和歌の飾りの句。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_088643569e.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1047,句切れ,句切れ,クギレ,国語,中学校,短歌や俳句で意味が切れる場所を指す言葉。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_5fe5ddde72.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1048,上の句,上の句,カミノク,国語,小学校/中学校,短歌の初めの五七五にあたる部分を指す言い方。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_03dd24cd1c.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1049,自由律俳句,自由律俳句,ジユウリツハイク,国語,中学校,五七五の定型にとらわれずに作る俳句で種田山頭火が有名。,http://commons.wikimedia.org/wiki/Special:FilePath/Taneda_Santoka%2C_year_unknown.jpg,https://commons.wikimedia.org/wiki/File:Taneda_Santoka%2C_year_unknown.jpg,Q1029656
1050,縁語,縁語,エンゴ,国語,高等学校,関係の深い語を散りばめて響き合わせる和歌の技法。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_b12f02f770.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1051,象形文字,象形文字,ショウケイモジ,国語,小学校,山や川など物の形をかたどってできた漢字。,http://commons.wikimedia.org/wiki/Special:FilePath/ChinaOraclebone01.jpg,https://commons.wikimedia.org/wiki/File:ChinaOraclebone01.jpg,Q7476695
1052,形声文字,形声文字,ケイセイモジ,国語,小学校,意味を表す部分と音を表す部分を組み合わせた漢字。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_754ea6c090.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,Q17990755
1053,筆順,筆順,ヒツジュン,国語,小学校,漢字を書くときの点や画を書き進める順序。,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese_characters_logo.svg,https://commons.wikimedia.org/wiki/File:Chinese_characters_logo.svg,Q2991980
1054,同音異義語,同音異義語,ドウオンイギゴ,国語,小学校,読みが同じで意味の異なる語で書き分けを学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Homograph_homophone_venn_diagram.svg,https://commons.wikimedia.org/wiki/File:Homograph_homophone_venn_diagram.svg,Q221079
1055,熟字訓,熟字訓,ジュクジクン,国語,中学校,明日や大人など熟語全体に訓を当てた読み方。,http://commons.wikimedia.org/wiki/Special:FilePath/Sumo_furigana.png,https://commons.wikimedia.org/wiki/File:Sumo_furigana.png,Q1042523
1056,慣用句,慣用句,カンヨウク,国語,小学校,二つ以上の語が結びついて特別な意味を表す言い方。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_485c946b00.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1057,杞憂,杞憂,キユウ,国語,中学校,いらない心配をすることをたとえる故事成語。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_84b9438bb8.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
1058,助長,助長,ジョチョウ,国語,中学校,余計な手助けをしてかえって駄目にする故事成語。,http://commons.wikimedia.org/wiki/Special:FilePath/Half_Portraits_of_the_Great_Sage_and_Virtuous_Men_of_Old_-_Meng_Ke_%28%E5%AD%9F%E8%BB%BB%29.jpg,https://commons.wikimedia.org/wiki/File:Half_Portraits_of_the_Great_Sage_and_Virtuous_Men_of_Old_-_Meng_Ke_%28%E5%AD%9F%E8%BB%BB%29.jpg,Q188903
1059,蛍雪の功,蛍雪の功,ケイセツノコウ,国語,中学校,苦労して学問に励んだ成果を表す故事成語。,http://commons.wikimedia.org/wiki/Special:FilePath/Luciola_cruciata.jpg,https://commons.wikimedia.org/wiki/File:Luciola_cruciata.jpg,Q133677982
1060,画竜点睛,画竜点睛,ガリョウテンセイ,国語,中学校,最後に加える大切な仕上げのことを表す故事成語。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_491e933182.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1061,一期一会,一期一会,イチゴイチエ,国語,中学校,一生に一度の出会いを大切にするという四字熟語。,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%8A%B8%E8%A1%93%E4%BD%9C%E5%93%81.JPG,https://commons.wikimedia.org/wiki/File:%E8%8A%B8%E8%A1%93%E4%BD%9C%E5%93%81.JPG,Q3269298
1062,竜頭蛇尾,竜頭蛇尾,リュウトウダビ,国語,中学校,初めは勢いがよく終わりが振るわないことの四字熟語。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_560992c1d2.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
1063,邪馬台国,邪馬台国,ヤマタイコク,社会,小学校,弥生時代の国で女王卑弥呼が治めたと魏志倭人伝に記される。,http://commons.wikimedia.org/wiki/Special:FilePath/Yoshinogari-iseki_zenkei.JPG,https://commons.wikimedia.org/wiki/File:Yoshinogari-iseki_zenkei.JPG,Q1049645
1064,前方後円墳,前方後円墳,ゼンポウコウエンフン,社会,小学校,古墳時代の鍵穴形の大きな墓で大和政権の勢力範囲を示す。,http://commons.wikimedia.org/wiki/Special:FilePath/NintokuTomb_Aerial_photograph_2007.jpg,https://commons.wikimedia.org/wiki/File:NintokuTomb_Aerial_photograph_2007.jpg,Q11268718
1065,貝塚,貝塚,カイヅカ,社会,小学校,縄文時代の人々が捨てた貝殻や骨が積もってできた遺跡。,http://commons.wikimedia.org/wiki/Special:FilePath/Conchero_Arguin.jpg,https://commons.wikimedia.org/wiki/File:Conchero_Arguin.jpg,Q1152199
1066,渡来人,渡来人,トライジン,社会,小学校,古墳時代に大陸から移り住み土木や機織りの技術を伝えた人々。,http://commons.wikimedia.org/wiki/Special:FilePath/131123_Hyogo_Prefectural_Museum_of_Archaeology_Japan24s5.jpg,https://commons.wikimedia.org/wiki/File:131123_Hyogo_Prefectural_Museum_of_Archaeology_Japan24s5.jpg,Q7634351
1067,法隆寺,法隆寺,ホウリュウジ,社会,小学校,聖徳太子が建てたとされる現存最古の木造建築として学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Horyu-ji45s2s4500.jpg,https://commons.wikimedia.org/wiki/File:Horyu-ji45s2s4500.jpg,Q261932
1068,平城京,平城京,ヘイジョウキョウ,社会,小学校,奈良時代の都で唐の長安にならって碁盤の目状に造られた。,http://commons.wikimedia.org/wiki/Special:FilePath/140531_Heijo-kyo_Nara_Japan01bs.jpg,https://commons.wikimedia.org/wiki/File:140531_Heijo-kyo_Nara_Japan01bs.jpg,Q862509
1069,正倉院,正倉院,ショウソウイン,社会,小学校,東大寺にある倉でシルクロード由来の宝物を納める。,http://commons.wikimedia.org/wiki/Special:FilePath/Shosin-shouso.jpg,https://commons.wikimedia.org/wiki/File:Shosin-shouso.jpg,Q2379007
1070,鑑真,鑑真,ガンジン,社会,小学校,何度も渡航に失敗しながら来日し唐招提寺を開いた唐の僧。,http://commons.wikimedia.org/wiki/Special:FilePath/Ganjin_wajyo_portrait.JPG,https://commons.wikimedia.org/wiki/File:Ganjin_wajyo_portrait.JPG,Q714061
1071,国風文化,国風文化,コクフウブンカ,社会,中学校,平安時代に仮名文字が生まれ日本の風土に合うよう育った文化。,http://commons.wikimedia.org/wiki/Special:FilePath/Genji_emaki_azumaya.jpg,https://commons.wikimedia.org/wiki/File:Genji_emaki_azumaya.jpg,Q3131044
1072,平等院鳳凰堂,平等院鳳凰堂,ビョウドウインホウオウドウ,社会,中学校,藤原頼通が建てた阿弥陀堂で浄土信仰の広がりを示す。,http://commons.wikimedia.org/wiki/Special:FilePath/Phoenix_Hall_in_Byodo-in_Temple%2C_Ujirenge_Uji_city_2026.jpg,https://commons.wikimedia.org/wiki/File:Phoenix_Hall_in_Byodo-in_Temple%2C_Ujirenge_Uji_city_2026.jpg,Q61094
1073,平清盛,平清盛,タイラノキヨモリ,社会,小学校,武士として初めて太政大臣となり日宋貿易を進めた。,http://commons.wikimedia.org/wiki/Special:FilePath/Taira_no_Kiyomori%2CTenshiSekkanMiei.jpg,https://commons.wikimedia.org/wiki/File:Taira_no_Kiyomori%2CTenshiSekkanMiei.jpg,Q281833
1074,壇ノ浦の戦い,壇ノ浦の戦い,ダンノウラノタタカイ,社会,小学校,源氏が平氏をほろぼした源平の争乱最後の戦い。,http://commons.wikimedia.org/wiki/Special:FilePath/AntokuTennou_Engi.7%268_Dannoura_Kassen.jpg,https://commons.wikimedia.org/wiki/File:AntokuTennou_Engi.7%268_Dannoura_Kassen.jpg,Q968676
1075,承久の乱,承久の乱,ジョウキュウノラン,社会,中学校,後鳥羽上皇が鎌倉幕府に対して起こし敗れた戦い。,http://commons.wikimedia.org/wiki/Special:FilePath/Setagawa%EF%BC%88Yodogawa%EF%BC%89_Karahashi.jpg,https://commons.wikimedia.org/wiki/File:Setagawa%EF%BC%88Yodogawa%EF%BC%89_Karahashi.jpg,Q1372308
